0	352 3 610 4
1	885 44 361 2
2	1402 979 180 6 172 646 287
3	120 1129 256 31 13
4	44 217 2
5	26 2 33 82 881
6	254 9 19 1517
7	257 194 399 49
8	583 31 1799 18
9	101 49 1362 6 257 66 8 205 85 657 882 1428
10	2 342 95 208 269
11	172 506
12	330 70
13	13 155 1563
14	41 119 1549 108 19 871
15	208 321 671 33 20
16	782 466 280 180 81 316
17	66
18	169 103 1035 19 871
19	102 664 19 134 481
20	1358 1705 66 14
21	14 410 1130 29
22	249 1606 14
23	119 157 713 222
24	10 47 8 72 150 270 548
25	276 30 277 175 694
26	40 1091 693 83
27	1090 88 787 60 123 4 78
28	1434 3
29	1841 19 151 857
30	172 506 17 757 15
31	1007 72 285
32	106 191 569 27 469 19
33	44 450 779
34	44 450 8 9 143 117 65
35	64 1201 1261
36	67 569 1183 1108 1599
37	598
38	564 350 564 1472 43 260 201 270 1075
39	152 108 903 1325
40	47 266 514 24
41	158 47
42	276 1857 240 256 890 614 405 672
43	467 15 195 19 79 467 289 271
44	669 27 139 503 154 543
45	43 838 127 9
46	27
47	761 1698
48	189 1298 188 212 1723
49	5 40 30 1112 435 1275 350 76
50	940 166 1188 196 90 235
51	472 33 7 1362 66 8 739 793 607
52	174 445 1142 25
53	81 46 10 240 88
54	15 23 1070 370
55	343 197 51 951 64 375
56	433 15 215 549 9 176 415 417
57	502 51 206 44 176 44 1
58	67 161 982 399 116 15
59	119 397 19 168 1
60	632 319 414 179 629 559 43 114 179 348 41
61	661 438
62	764 822 763 381
63	152 148 85
64	106 437 1590 95 104 152
65	519 8 903 1325
66	257 194
67	1486 215 1194
68	54 803 2
69	66 8
70	56 1228 89 363 624
71	204 71 111
72	168 310 176 59 1
73	2 1032 77 1188 178 14
74	1233 1622 887 169 260
75	40 116 204 751 282 25
76	15 62 157
77	732 284
78	3 34 8 954 1029 883
79	530 1108 1384 15
80	26 18 48 127 380 137 19
81	1780 583 52 22 162
82	1825 66 11
83	183 1802 137 693 620 561 983
84	331 414 393 1563 89 127 78 381
85	1786 2 1297
86	431 564 733
87	6 131 4 107
88	359 14 540 1141 486
89	39 168 1
90	119 5 903 903
91	119 1472 1089 1101 903
92	2 67
93	94 93 735 113 9 619
94	603 777
95	220 170 8 154 140 486
96	815 10 35 160
97	482 288 1832 729 145
98	299 69
99	1414 14 54 47 1035 631
100	652 365 44 450
101	469 272 3 684 18
102	435 255 18 65 60 104
103	98 192 264
104	77 1131
105	358 586 402 1163
106	106 924 60 1218 316
107	33 15 574 120 65 765 120 339
108	1549 119 13 329 242 36 492
109	45 148 9 202 44 250
110	190 21 98 305
111	5 137 693
112	119 169 15 1207 864 19
113	119 1383 440 95 863
114	119 5 15
115	436 337 10 200 224 200 70 261
116	10 394
117	729 119 152 100 156 620 561
118	66 11
119	108 1035 19 587 5
120	1580 178 581 157 359
121	288 958 100 1859 358
122	188 655 540
123	43 21 713 1316 126 2
124	314 38 731 463
125	753 56 241 350 201 130 862 763 540 260 543 173 24
126	48 1002 1522 104 104 922
127	823 370 36 492 4
128	987 27 157 169 397 19
129	952 1131
130	119 36 492 19 243 5 36 492 559 599 940 119 27
131	24 653 77 264 9
132	329 1387 167 119 36 492 5 119 1387
133	134 43 709 49
134	273 198 240 256 316 640 944 170 217
135	10 856 122
136	55 239 773 1305 76
137	222 780
138	77 152 731
139	43 21 713 1316
140	703 71 111 965
141	239 1583 533 1549 1407 19 1123 97
142	964 1141 654 410 35
143	119 14 539 67 119 1472
144	204 136 184 264
145	11 18 98 174 50
146	387 269 513 1380 463 488 305
147	727 1288 342
148	1003 1256 203 1070 103 43
149	617 897 1288
150	315 374 969
